	Unnamed: 0	id	like_ratio	dislike_ratio	views_to_days	duration	comment_count	peaks_count	heightxwid	label	comments_sim_score
2074	2074	mJhquuwVmoo	0.06451612903225806	0.014492753623188406	2.456876456876457	176.0	21	1.0	0.12532993226044398	1.0	0.7569319999999999
2144	2144	2ZazEvLmSpU	0.024104234527687292	0.032679738562091505	45.313653136531364	182.0	65	1.0	0.021294501203600245	1.0	0.5967564000000001
2168	2168	7jtSrir1FAI	0.06903622693096377	0.10619469026548672	3.880636604774536	157.0	89	1.0	0.00980406356722284	1.0	0.64622164
2191	2191	nqwqDXekkNY	0.014725568942436413	0.08333333333333333	9.495762711864408	52.0	16	2.0	0.0063591760267881076	1.0	0.6229005999999999
2202	2202	_eyi-XRULo0	0.08209399167162404	0.02127659574468085	4.1712158808933015	66.0	22	1.0	0.1666106946099402	1.0	0.9017021999999999
2210	2210	xHlbAhMKYyc	0.11608623548922055	0.06666666666666668	2.5769230769230766	40.0	37	1.0	0.04055674455899128	1.0	0.7615243
2212	2212	6cR8SGXb56o	0.12234494477485132	0.05882352941176471	4.391791044776118	532.0	53	1.0	0.06975356142119485	1.0	0.81310916
2219	2219	8u2YNakeuMk	0.014075088367353437	0.14091350826044705	47.83396801218584	467.0	286	1.0	0.0021944598858018973	1.0	0.9338378
2232	2232	Un-3Zn-kC8E	0.006199147617202635	0.0	43.196652719665266	214.0	17	1.0	0.02687130359158756	1.0	0.6137166999999999
2261	2261	iyT64-_SWZQ	0.026817640047675805	0.08163265306122447	5.7465753424657535	718.0	31	1.0	0.03492988755123133	1.0	0.7594396
2302	2302	NZ8LQzyK2lU	0.0056132635051069114	0.015228426395939087	17.2805	218.0	33	13.0	0.0016685607284388096	1.0	0.9109871999999999
2344	2344	qH2PbITR9sA	0.007048728164266013	0.02127659574468085	17.543010752688172	207.0	14	1.0	0.03525473002560445	1.0	0.6473135
2361	2361	o76uyIHTIko	0.1752873563218391	0.016129032258064516	0.9508196721311476	22638.0	0	2.0	0.0259657012661211	1.0	0.5780310000000001
2362	2362	E6NPnu2EL9I	0.09166666666666666	0.0	0.3715170278637771	186.0	22	1.0	0.026054912231615844	1.0	0.8843333000000001
2386	2386	aOx14-n_nJs	0.032522227421619095	0.0	10.903061224489797	279.0	52	2.0	0.03068985992400833	1.0	0.8111549
2422	2422	6zn2B3tAgkA	0.09940044177974124	0.0031645569620253164	7.545238095238094	161.0	180	1.0	0.010028257596379377	1.0	0.8174680999999999
2432	2432	MblgfsbXYkc	0.03972537502976427	0.024366471734892783	63.471032745591934	53.0	121	3.0	0.000704714552735595	1.0	0.718591
2450	2450	gQx0pWPcyxc	0.03611302976257977	0.016839741790625876	124.20102432778488	153.0	319	4.0	0.0002818230250625252	1.0	0.47524086
2460	2460	64dPipMPaKM	0.016655562958027982	0.13793103448275862	5.886274509803924	2.0	29	1.0	0.024755417043265185	1.0	0.5763476
